老人电视转播台,#genre#
1-翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
1-翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
1-翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
1-翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
1-翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
2-無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
2-無線新聞台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
2-無線新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
2-無線新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
3-鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
3-鳳凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
4-中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
4-中天亞洲台,http://php.jdshipin.com:8880/xsj.php?id=cti-asia

5-CCTV-1综合,http://goo.bkpcp.top/mg/cctv1
5-CCTV-1综合,http://z.b.bkpcp.top/m.php?id=cctv1
5-CCTV-1综合,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1580954862_989339440/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073730&ContentId=265183188&timezone=UTC&mtv_session=70e0f8e2241f03fbb284fe07471c1406&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a8389d6ec822d0e298d3b92aa95fa266
6-CCTV-4中文國際,http://z.b.bkpcp.top/m.php?id=cctv4
6-CCTV-4中文國際,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4
6-CCTV-4中文國際,https://migu1.vip-tptv.xyz/migu/631780421?sign=gAAAAABnUrBhMngayLUSBzHnrAHhbmh8mWqVF42jksD8PT_XK5yydYhbOThBui909gv_Ow-zcwuBKUG56kwdlirE8IByU3I92XhWixbe_dUFUd7Pz0DZbdldo1pn2h1Nc7TeldjacimUKeOyCzO3rTTms1ZPq_zKW00IjiMxokwBu9PBRAm4DckLkbGaVptvV0OT9IYOBVU3KCW26hFMbEfIpRjkZWg02w%3D%3D
7-大灣區衛視,http://goo.bkpcp.top/mg/dwqws
7-大灣區衛視,https://www.freetv.top/migu/608917627.m3u8?migutoken=bec4d9e28939940737f64e4105a9cff24e6624649f40cd3eb0ee4718ea69f7f02f1698796c46d9ff697a680d79a5ec62a564d4e5d3b01e24dc443b7fa95be50c9e063ed0e2fe58a717d689af58
7-大灣區衛視,http://z.b.bkpcp.top/m.php?id=dwqws
